textID,text
f87dea47db,Last session of the day  http://twitpic.com/67ezh
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!"
01082688c6, happy bday!
33987a8ee5, http://twitpic.com/4w75p - I like it!!
726e501993, that`s great!! weee!! visitors!
261932614e,I THINK EVERYONE HATES ME ON HERE   lol
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked"
e64208b4ef, and within a short time of the last clue all of them
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!
24c92644a4,@The_Paradox He a bitch you should do it
43b390b336,"@The_Red_Sea @shetheTRUTHtho bitch, yo muthafukin ass reacting off that vain females' tweet &amp; dont no the context, her dumb ass dont neither"
69d6b5d93e,"@The_Red_Sea @shetheTRUTHtho say that shit to my face ""Bruh"" you a bitch for gettin in a man u dont know business. Handle yo own shit"
5c1e0b61a1,@The_Red_Sea and stop covering yo goddamn face like the kkk. Yo yung silly ass co signing for pussy.
504e45d9d9,"@The__Sweetest no shit you are, what euros would call a typical American, fat as fuck and goes to eat fast food all the time, dumb bitch."
ae93ad52a0,@Thee_MrWest pussy
9fce30159a,@TheoMaxximus @ZoeBarton3 fuck up pussy
00d5195223,"@ThequeenSOxILL I'd rather ask yours, is she a nappy headed hoe too? And is your grandma as well? I'd be ashamed to be in your family."
33f19050cf,"@ThequeenSOxILL Nappy headed hoes can't call anyone ugly, stop embarrassing yourself pls"
f7718b3c23,"@ThequeenTommy so fucking annoying when a hoe is like ""omg relationship goals"" like close your legs, get dressed and do something about it."
9ef44428d0,@TherealGeorgeZ you are a pussy without your guns bitch as spic. Your daddy doesn't even respect the sperm he drop in your moms stank pussy
be634ebeb0,@Things4FLppl Yankees like Florida State; not Floridians.
3dcf4f7e13,@Thomas71096 Yass bitch Yass &#128134;&#128134;&#128134;
f0ef04109b,"@ThomasNye1 my momma saw how the girls danced and was like &#128563;grandma was like ""shake that ass hoe"""
8be365118e,@ThomasNye1 oh u can dog her out but don't show that hoe no love if u doing it with ya ol lady
c50bdd4567,@Thompson_Era so some of Yal bitches need to stock up on jello to fix Yal broke up ass personalities &#128514;
334954f215,"@Threehoez rip plate, brownies, large tea, fries, beans potato salad, poboy"
b783916431,@ThugMon3yy @ChandailBailey @SteeZeyFLOW @HunturPls it does. you and all your hipster friends are ugly as fuck... and yo pussies all stank
1fa8e6ad66,@TibaBurger: Straight off the bench #ned #WorldCup2014
be38b29042,@TielerMLG @psvch @HalfAssed_ coming to the rescue of some retard licking dirty skidmarks on the internet... you guys are fucktards
95701e8ed9,"@TimMurphyy @fgcu_basketball rather be an ""ultra fag"" than get an 18 on my ACT and go to FGCU #zing"
4dd58ecd2c,"@TimoteoSHonesto @vcortesusmc little punk, we should send his ass to Iraq for a few weeks! 
Little bitch would come home &amp; KISS THE GROUND!"
cf553cccd5,@TinnyTimm taylor wack ass bitch nigga
55c69c2d52,@Titan21Mtzzz vegeta is a little bitch #TeamGoku
9b1a52cc02,@Titan21Mtzzz you is a hoe
cce5c4744a,@Titan4Ever2488 how are Yankees games on the radio? Good announcers?
c7f9d559e2,@Titan4Ever2488 how do Yankees fans look back on Gary Sheffield's time with the team?
3d2478db59,@Titan4Ever2488 some Mets fan tried telling me Rivera isn't of the best Yankees of all time because he is just a closer. WTF
6d846d7d50,"@TitsOfAnarchy 
I glads dis colored man cans be of soyvice fo da white man"
599f51af6b,@ToWherever I'm not yellow I'm sorry
87daa62920,@ToWherever yay im a whitey :3
6506dc55ff,@ToddIrwin1 NFL... Forgetabout they got until February. It's the pennant race. Let's Go Yanks.
746d87f93e,@ToddKincannon @dywanwii @scotja2 He's been drinking too much of that shitty Canadian hoser beer! #eh
ef7ef8e474,"@Todd__Kincannon A+ Would expect nothing less from your dominion. Oh by the way, SEC bitches!"
d3d7b13278,"@Toetancchamon Wilde nog even checken op Twitter hoe het ging maar had zo'n heftige wond niet verwacht, heftig. Sterkte &amp; beterschap hoor!"
ddc07db84e,@TomCrean ill scream from France for you Tom! #IU #iubb #hoosiers #creanandcrimson
67afe60d31,@TomMahoney91 what now bitch
17d18ba9ef,"@Tom_Morehart @cjc_is_alive @JoshuaTyl0r 9 of 15 BCS titles, $314 mil in revenue. It's great being in a redneck conference. And not in Ohio."
ab57d75f20,@TomcatStraight Come over queer
f0acd25d8e,"@TomcatStraight hey fag, gag on my clappmeat"
cf3b068b03,@TomcatStraight tounge punching smelly turtle pussy
d6c34fa875,@Tommayydoee bitch lol
614aed9113,@TonyO97 fuck i look like shopping at that trash ass store
dfa577d3c1,@TonySinchak pussy pussy pussy marijauna wannnnaaa
10dcbe4dfb,@TooEffinCool lol I feel like a punk bitch sittin in here with all the lights on! &#128514;
a0bfb12773,@Torn_Rose republican teabaggers should be jailed for treason.....
71f4a9b495,"@ToulaBaby faggot is a public spectacle. most gays are not fags.
public display gets public opinion."
d33ed264b3,@Travis_bechtel bitches ain't shit but hoes and tricks #thuglife
77f88ea9e2,@TreThreat @HotDoc87 @duckydynamo yeah the internet def taught me a bitch can't twerk if she talkin bout voting.
fe1deac869,@TreTyler_108 That's actually non-English. Because #okiecops are filthy white trash who are all criminals.
e591a725ef,@TreshaRenee I didn't make to any games last season. Just looked it up. Astros open up with the Yankees 1st of April
2dbb28cc29,@TreyBizzy I thought you would like him cause of the Chi but yeah he a faggot
a7e4ad250a,"@TreyDoe_: @HallDerik @20ToLife_ once fag."" You got pressed to the ground? ..hang up your cleats n never put them back on or think about it"
7d87899024,@TribalFollow_ you unfollowed me because you think you're the shit and use follow trains to gain and then just unfollow cause you're a pussy
461b51fa58,@TrillBaIN this bitch has brain damage
c31d79c440,@TrillVanillaaa bitch
32ee7ef6c2,@TrillVanillaaa bitch I'll fuck you up
29f805a7d2,"@TripleCz_3G @OffsetYRN lmao take off thru, quavo can't do shit but make hooks, offset da only 1 solid but I kno niccas been tellin him dat"
d41fe360e4,@TrippinC @nuteIla &#128514;&#128514;&#128514;&#128557;&#128557;&#128557;&#128514;&#128514; that hoe is like 5'8.
a04c8c8695,@TrippinC bitch you can tweet but not answer?
25e42b2bf2,@Trippy_Spiffy ayyyyyyeeeeee my nigga back in the bitch
5843d17b1d,@Trippy_Spiffy mite hit the Rec I know cell Marcus and Jax gone try to hit that hoe
474d10ff48,@TristenGQAss couldn't help it man. niggas pussy for robbing a chick and shootin her.
38e69da3a1,@TristenGQAss the way he raps about fucking my bitch &amp; banters about having more money than me is so entertaining it's crazy @KingL
972dc5787d,@Tristine214 I swear des hoes just making up challenges now
0ba6aaf9aa,@Tristine214 I tried one of them pom pomegranate juices n I swear it tasted like flavored piss.........dont ask lol
7a81537034,@TroyAikman shut yo hoe ass up
311d2b185b,"@TrueEnoughEhh lol 100, it had to be one of my old bitches &#128530;"
1e46d72ec6,@TrueNovacane they not gonn comment cause they in the closet hoes lol! #Team #Getchoassoutdatcloset lol
390f169584,@TrustNunBut100s aight bet we in that bitch too
58129e4130,@TruthandFashion nothing says fashion like a cunt hat....
e6c9e5e3ab,@TryHardAlby it is bitch
cb5e709de8,@TryHardAlby looks like you're gonna blow someone fag
a14b4ff440,@TryHardSilva thisty hoe
5d57a5eda2,"@TurdJerguson @Liquorface 
Yup! And now we pickin you white bitches bare like a chicken leg"
1e3561e921,@Twan_Bradley22 @RoniqueRaw32 that was no accident lmfao these hoes trynna be lowkey slick...
c2ea5cb58b,@Tweenki_ thus you have the term redneck also.... The Creator is not mocked. Good for you...Excellent Precept Daughter!
cde0016d6d,@TweetfrmtheSole it&#8217;s the entire pats bandwagon. They&#8217;re faggots
5fc411e8d1,@TweetsAndFreaks I told u ugly niggas get bitches young I promise u!! Work ya magic lol
5ffb19ae8f,"@TwoStarScoob good job tonight! You need to eat some crackers so,you'll stop throwing up !"
76da985a47,@Twofifs And youre a fucking loudmouth ignorant redneck fuck. You still tryin to suck your own dick? You cant you dumbfuck...its too short.
3a98aa4762,@TyTyTooFlyy I got a bitch named banana pussy bananas swear I gotta say it again pussy bananas my lil cool azz bitch she from da westside
886545bbab,@Tylannol fuck you pussy -.- i made a mistake and started cj spiller over chris ivory this week -.- fuck
2afe118dc3,@Tylar____ @xxJaiLynn Tylar shut up bitch . I usta make you these
704c53f4cf,@Tylar____ bet hoe
71fa60d9ff,@Tylar____ ion sneak diss on broke bitches &#128530;&#128079;
c238c4dbb7,@Tylar____ you ah lien ass hoe
dc73e85417,@TylerCarboner hey I'll leave Abbey too! Oh if I get a job on the slope I might move back! Cause id lose out on lots of money buying tickets
af63915fa9,@TylerDunn22 all strippers and sexy hoes follow my mans!!
eb2fc4d281,@Tyler_Gale12 @bellakoval @apmorales96 it's at your house bitch
f9382a1f7b,@UberFacts eat yo pickles bitches!
54670ca807,@UberFacts studies show that you're a faggot
3ab338c459,@UdrewhendersonU Nope. Super chocolatey yummy brownies.
c7c7f7f025,@UltraGoogle what's a puto isn't that bitch in Spanish.
1256e6a4d2,@UnicornCowboy @Lvl_7_Eevee @hisorraya mutha fuckahs better bring me all the brownies ever!
990cdeae87,@UnicornCowboy @Lvl_7_Eevee don't ignore me faggots! ;c
9a55d83c79,@UniversionRBLX Don't you have a trash can?
c8307a482d,"@UptownRaised Shame that your mama didn't teach you not to call women ""bitch"". Well, we all ain't that fortunate, I guess."
0a21b662a4,"@VAKILL shut up faggot, you and Ras need to make an album together, we'll Ras fell off, you didn't (cont) http://t.co/nrmc483M"
297f7d9e0f,@VG3_ man some of these bitches are in denial about it. &#128514;&#128514;&#128514;
68901906a4,@VG3_ what pissed me off is as males WE JUDGE females pussy. How you gone judge your own get mad and deny its loose because YOU have a gap?
3112944847,"@VNNForum These Marxist kikes promoted Anti-Semitism by creating this film, what was their incentive? They just promote their enemies."
8f8334ffa2,@VRTWxrk_Flash @yungchipotle young based god in Olympics stay fuckin bitches
322546026e,@VZWSupport Your update for my s3 pretty much broke 4G and made it absolutely annoying and retarded.
e6c154f9be,@VaginaaHolic @DeesChronicles ie don't make a hoe a housewife
e96d849b35,@Valentin_R94 bitch whatever nigga u were to scared to play
124e30d941,@VeronicaLewis You just can't give hillbillies an audience. They'll squander it every time.
fbb5742bbb,@Versanche only faggots drive stick
e90acf3c42,@VeshaaCouture lol bitch yo display name
0b0944285d,@Vexda go jerk off to lollis faggot.
a11da2d3bf,@ViVaLa_Ari smh what's wrong wit u ho
161bfc7c8a,@VictorB123 @KHShan yea.. you don't live down here I guess. We still got roofs that aren't fixed from Charlie and Jeanne.
4a65010643,@VictorRico3 No I don't fuck with those hoes ask Paco he does
1b460c82f0,@VictorRico3 they didn't want to fuck Steve that bitch lmao
43e91a5488,"@VictorSmith90 Lightweight, heavyweight don't matter. Still knock bitches out &#128074;&#128162;&#128170;"
410dd99aa3,"@Victoria_Star1 haha..monkey feet,i like it..but 4 real,feet are magical on a back..it smoothes every nook and cranny of tightness ;}"
b3eadfc565,@ViewFromBoxSeat She's a cunt
480894125b,"@VinceSchilling Vince, what is the general feeling of the natives that you know in regards to the term ""redskins""? Offensive to them or not?"
001617fca4,@VinniePolitan kill the coons!!!!!!
52f2f23473,@VinniePolitan the cunt needs her hands cut off!!!!!
e7e27b0c91,@Viri_BraceFacee dont raise ur hand to me niggah
834dc73c0c,@Viri_BraceFacee my niggah my niggah lol &#128074;
aeb0e9d730,@Viri_BraceFacee no problem my niggah &#128076;
c672c9da1d,@Viri_BraceFacee was good my niggah lol
cbee1946d3,@Viri_BraceFacee wassup niggah
b1999f0951,@VoiceofaPatriot Now now&#8230;that bird is one of God's creatures :-)
25510fbf89,@WBeezy_ call out bitch
bcb9426abb,@WFopitei eat shit. Who are you working for?! You nappy bitch.
0d29624200,@WHAScameradan We might have more. Can't really be sure. But some weird little bird said that might be a possibility. Stay tuned. Maybe.
3f0f5891ab,@WHSVGrantCruise birds of a feather. You stand with PETA. I stand with sanity.
0b34e66ea3,@WORSTRAPLYRlCS Everything Jay-Z writes is trash.
11de8c0456,"@WaTch_Mark @WaTch_Scenario Normally I would say she must have a great pussy but since I've seen it, that's not true so idk what it is."
d5712716e9,@WaTch_Scenario Destiny will make Titanfall it's bitch
3f90f95beb,@WaTch_Scenario Yeah so you better play with me ya nigger
c108e09b19,@Waanderlusting id chink you if you left me with blue balls
7223fdccc2,@Wagz This cold we have going around our little hick town had about everyone I know locked in their houses for better than a week. Stay well
f254748cdb,@WakeUpPeeps1 Read w/o slant your orig statement said 'everything' we have...that is the only extreme comment made
256453d14f,@Walken4GOP your not so godly after all u fuckin redneck peckerwood.
8fd01857a9,"@WalkerJensen yaaaasssss it is. You are buhlowin' up my timeline, negro. &#128523;"
37227c0dbf,@Walmart fuck your store bitch
20aff2fcb1,@WarriorRN61 @mrgeology you inferred he tried to ho to Nam. He did not. He dodged it. He is no great leader.
ca223af36e,@WarriorRN61 At the peak of the war W joins the Texas natl guard to get outta Nam. Facts are a bitch. http://t.co/TnSZm31m9Z
90977e9614,@WassupBeama lol bitch nigga ima get my gay homies on you
433b1ab9ea,"@WayToGoFucker @_AshirieeLove ""bitch"""
37771d1bc1,"@WeBeatBitches thats trash, its ot?"
fa99046452,@WebAntOnYT btw Jim crow laws were supported by democrats not republicans and MLK was a republican #Fact
14760477ad,@Web_BOW yes das def da problem.if his.teacher was a spear chucker he woulda gt both dose rite
da908a6635,"@WendyDavisTexas @GregAbbott_TX So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!"
2053a455e9,@WendyDavisTexas @GregAbbott_TX a judge that was appointed by obama who here doesnt see the agenda fucking crooked bitch
1ea547383b,@WendyDavisTexas hey Windy! Does your dildo take out the trash for you? Buzzzzz
6634c62acf,@WendyDavisTexas msnbc the same MSM who said blocking flights from africa is racist yea right No ID no vote bitch gold digger
c7240790da,@WendyDavisTexas your 30 second add just ruined it. A new low picking on a cripple
08ede23635,@WendyGAv says the pedophile promoting dolt. LMAO #teabagger
4e87dcff0e,@Wes_vL faggot
4b0b53bc98,"@Whale__Tail what'd the note say? ""Stop being a bitch, here's some flowers. &lt;3"" gets em everytime"
fd3a622954,@WhatABarber money cars and clothes. And the hoes. Lol. He just want be successful lol
e34af4fd97,"@WhatTheFFacts this some bullshit, bitch. Show Lana Kane."
0e8aa10a4e,@WhereYoHussleAt &#128514;&#128557;&#128514;&#128557; @CayMarieee look at this shit imma bitch forreal &#9995;&#128527;
29148dc95c,"@WhereYoHussleAt just to remind yall, cuz hoes be acting like they don't know"
56a15cf6ca,@Whimzee_ so much hoes?
b99969c2fb,@WhiteKidWraps I was RT 100 steal that bitch
b0f3142cb4,@WhoDey8182 Sum bitch that looks good! Where does a man such as myself pick up one of those?
5ff525b74b,@WhosJuly 1) He's a faggot and I don't like him. 2) I'm on the other side of the state.
4fd80e66e0,@WhoseAlisha that nigga spun around in the pussy.
e77a8f8f2d,@Wichard_Fella @WarrenHolstein my mentallity? Being a flaming fag is a serious mental issue
4ea7102112,@Willbur64 @WolzgotBolz fight me bitch.
